,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Gender,Preformer
332,407436,Mowgli: Legend of the Jungle,2018-11-25,175000000,0,-175000000,2,Rohan Chand
333,698432,Nobody Knows I'm Here,2020-04-15,0,0,0,2,Jorge Garcia
334,430830,Nobody Speak: Trials of the Free Press,2017-01-24,0,0,0,2,Hulk Hogan
335,18561,Oxygen,1999-11-12,0,0,0,1,Maura Tierney
336,384677,Set It Up,2018-06-15,0,0,0,1,Zoey Deutch
337,432789,The Incredible Jessica James,2017-01-27,0,0,0,1,Jessica Williams
338,544415,Tigertail,2020-04-10,0,0,0,2,Tzi Ma
339,412209,Tramps,2016-09-10,2000000,0,-2000000,2,Callum Turner
340,528491,WHAT DID JACK DO?,2017-11-08,0,0,0,2,Jack Cruz
341,578908,Bad Trip,2021-03-26,0,0,0,2,Eric André
342,405774,Bird Box,2018-12-13,19800000,0,-19800000,1,Sandra Bullock
343,714338,Bulbbul,2020-06-24,0,0,0,1,Tripti Dimri
344,778730,Crazy About Her,2021-02-26,0,0,0,2,Álvaro Cervantes
345,535356,Elisa & Marcela,2019-05-24,0,0,0,1,Natalia de Molina
346,3515,I'll Sleep When I'm Dead,2003-05-14,0,490964,490964,2,Clive Owen
347,500840,I'm Thinking of Ending Things,2020-08-28,0,0,0,1,Jessie Buckley
348,636709,It Takes a Lunatic,2019-05-03,0,0,0,2,Wynn Handman
349,798022,Milestone No. 2,2020-12-21,100,0,-100,2,Nicholas Dapolito
350,522393,Recovery Boys,2018-05-01,0,0,0,,
351,553648,ReMastered: Who Killed Jam Master Jay?,2018-10-12,0,0,0,2,Darryl McDaniels
352,752939,Shawn Mendes: In Wonder,2020-11-23,0,0,0,2,Shawn Mendes
353,581389,Space Sweepers,2021-02-05,21000000,0,-21000000,2,Song Joong-ki
354,520370,The American Meme,2018-12-07,0,0,0,1,Paris Hilton
